BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;662;662002;;Varde - Varde Vest;Va-Vav;0,625;1,88;;Privatbane;Fri Bane;;711;3
;;662;662002;662161;Frisvadvej;Frt;;;1,6;Privatbane;Trinbræt;;712;STED
;;662;662003;;Varde Vest;Vav;1,88;2,84;2,4;Privatbane;Station;;713;STED
;;662;662004;;Varde Vest - Janderup;Vav-Jad;2,84;8,58;;Privatbane;Fri Bane;;714;4
;;662;662004;662341;Boulevarden;Bot;;;3,4;Privatbane;Trinbræt;;715;STED
;;662;662004;662561;Elkærdam;El;;;5,6;Privatbane;Trinbræt;;716;STED
;;662;662004;662721;Hyllerslev;Hyv;;;7,2;Privatbane;Trinbræt;;717;STED
;;662;662009;;Janderup;Jad;8,58;9,25;8,9;Privatbane;Station;;718;STED
;;662;662010;;Janderup - Billum;Jad-Bim;9,25;11,35;;Privatbane;Fri Bane;;719;4
;;662;662011;;Billum;Bim;11,35;12,11;11,8;Privatbane;Station;;720;STED
;;662;662012;;Billum - Hesselmed;Bim-Hst;12,11;13,92;;Privatbane;Fri Bane;;721;4
